country_code_1,cohesion,cohesion_sqrt,cohesion_users,cohesion_users_sqrt,pop_share_prod,users_share_prod,cohesion_norm,cohesion_sqrt_norm,cohesion_users_norm,cohesion_users_sqrt_norm,cohesion_rank,cohesion_sqrt_rank,cohesion_users_rank,cohesion_users_sqrt_rank,cohesion_norm_rank,cohesion_sqrt_norm_rank,cohesion_users_norm_rank,cohesion_users_sqrt_norm_rank
MA,0.025230386226246224,0.11583331380505543,0.022468977532467804,0.10291182267272166,0.27821095836502935,0.23814681305429589,0.09068796705391617,0.41635065162701185,0.09434926818586074,0.43213604814966994,32,34,37,38,32,33,38,40
AZ,0.02537491513470486,0.11188415181394791,0.018848821576932087,0.09712111358303901,0.26542519033756645,0.26002319180777417,0.09560100570120404,0.4215280082182637,0.07248900163823212,0.37350942778533835,33,32,29,29,33,35,28,28
GN,0.026221396109028367,0.10870686922271375,0.013906725654722799,0.07482727715636639,0.27185816722466327,0.2206774377265631,0.09645248615009987,0.39986611523382526,0.06301833933722911,0.33907987117869,34,28,23,17,34,30,24,22
AO,0.026792860722867858,0.11906281559168702,0.022387539660508323,0.10105911003826559,0.26914499233228056,0.23472463348765432,0.0995480558292906,0.44237425545222353,0.09537788739027184,0.43054326483198424,35,36,36,33,35,36,39,38
MZ,0.02851586989509069,0.12485692688921271,0.023309191924573543,0.10205511810008865,0.2733889016402103,0.22345431689060302,0.10430514817539524,0.4567007882914316,0.10431300790660075,0.45671580446598387,36,38,39,35,36,39,42,43
PG,0.03013661194609839,0.12264431369090555,0.023661402664472978,0.10209533935167857,0.2725030818629427,0.23705038887740695,0.11059182061381533,0.45006578587096624,0.09981592005195873,0.4306904529250877,37,37,40,36,38,37,40,39
MR,0.030719540747533684,0.11316466752019029,0.01687380018307102,0.08200349463452682,0.27391707735007126,0.23763301586202895,0.11214905271595581,0.4131347655099418,0.07100781060182329,0.34508460172107774,38,33,26,25,39,32,27,24
MK,0.03268811086181522,0.13188023032212232,0.021093837335083514,0.10311505253983806,0.2808513616964979,0.2612439156300703,0.11638936220341221,0.46957304933646266,0.08074384157123513,0.3947079582356752,39,39,34,39,40,40,33,33
AL,0.032790931485221345,0.1350636610118146,0.019118209087228007,0.09785438104600705,0.2981282881760451,0.2619283505064391,0.10998933273268675,0.4530387298640355,0.07299022442688202,0.37359217074747875,40,40,30,31,37,38,29,29
MD,0.04284443549911618,0.14673966550758996,0.02647601316503943,0.11474090629307448,0.27351373037999416,0.26196165857716214,0.15664455104170516,0.5364983516685752,0.1010682758264824,0.43800648887431354,41,41,42,43,41,41,41,41
LV,0.046438889895518976,0.1583338853858395,0.022499467052909804,0.10268848171760651,0.29133420150608885,0.2545389448996217,0.15940074888374686,0.5434785362216744,0.0883930239507457,0.40342935246353784,42,42,38,37,42,42,36,36
DJ,0.05838644206417484,0.17301416879853027,0.03976598973297413,0.13490120231331504,0.274522025318229,0.23639447918010326,0.21268399865727577,0.6302378419289684,0.16821877512070565,0.5706613909986327,43,43,44,44,43,44,44,44
BY,0.06062462367225664,0.17352871392236016,0.02751761756453408,0.1123897175273803,0.27633092624717204,0.24792447579574062,0.21939138154239468,0.6279742780840335,0.11099193605719358,0.4533223965348853,44,44,43,42,44,43,43,42
KM,0.08770435152558385,0.21607480337936028,0.07350827414319747,0.1892626954543899,0.27266212013212665,0.24724164135772933,0.3216594644062918,0.7924635929429974,0.2973134854611312,0.7654968411269735,45,45,45,45,45,45,45,45
