ISO_CODE_1,ISO_CODE_2,FBDist
AE,ET,3.474620751921081
AE,FI,3.163321617253597
AE,FJ,3.1895464538577576
AE,FM,3.8111671189359795
AE,FO,4.5322047940806955
AE,FR,2.9733491707761304
AE,GA,3.2774829265984375
AE,GB,3.0313348253124217
AE,GD,3.5661895830347308
AE,GE,3.179127913223405
AE,GF,3.4104026371439997
AE,GH,3.2716488782329343
AE,GI,5.644103545146014
AE,GL,4.46370423676055
AE,GM,3.343056165649157
AE,GN,3.3676014799917504
AE,GP,3.571272316448025
AE,GQ,3.912403758423571
AE,GR,3.520365902760794
AE,GT,3.3837332217535327
AE,GU,3.459591510097957
AE,GW,3.7421907987854195
AE,GY,3.004248328973195
AE,HK,4.325318856025611
AE,HN,3.365999478237999
AE,HR,4.019055914096267
AE,HT,3.4954710250779
AE,HU,3.414363099321017
AE,ID,3.0993846235500584
AE,IE,3.980582823145003
AE,IL,3.5790835775212986
AE,IM,4.88992005372315
AE,IN,2.8568599433473425
AE,IQ,4.100944359350702
AE,IS,3.7457628683014894
AE,IT,3.6018917711958656
AE,JM,3.1649370543921056
AE,JO,4.660167076621966
AE,JP,3.328237795318124
AE,KE,3.03456757296986
AE,KG,2.962383983108208
AE,KH,3.3489999872943765
AE,KI,3.82886132976113
AE,KM,3.775842925753094
AE,KN,5.219884469185311
AE,KR,3.4961619993885913
AE,KW,1.9231489721184898
AE,KY,3.8883573849608073
AE,KZ,3.01194025936016
AE,LA,3.255916639214039
AE,LB,2.8552016273502914
AE,LC,3.3702623580949376
AE,LI,6.163145087308171
AE,LK,2.9579512669879744
AE,LR,3.261702832150474
AE,LS,3.3739216674786765
AE,LT,4.583303385764736
AE,LU,3.3638743150649333
AE,LV,3.0868614781966057
AE,LY,3.5869423426391562
AE,MA,2.932398963400633
AE,MC,5.633821012490285
AE,MD,3.1454062927458915
AE,ME,3.7413949565448856
AE,MF,13.102463452290639
AE,MG,3.212116927432232
AE,MH,3.9915181094509395
AE,MK,3.899080497062376
AE,ML,3.3400070657729177
AE,MM,3.011941466995651
AE,MN,3.3793140602779888
AE,MO,4.388183243363434
AE,MP,3.8955186710312457
AE,MQ,3.6573235932482673
AE,MR,3.2110616549288125
AE,MS,13.793301693957131
AE,MT,4.457361865148515
AE,MU,3.406659949965992
AE,MV,3.4579684445977223
AE,MW,3.4246329060770266
AE,MX,3.556907367818049
AE,MY,4.406859889809144
AE,MZ,3.2776671629929734
AE,NA,3.321569807747499
AE,NC,3.8320792605492855
AE,NE,3.3448153593226557
AE,NG,3.1616629904588285
AE,NI,3.4853446156363814
AE,NL,3.0699571020541883
AE,NO,3.3122495184810425
AE,NP,3.0916283331822094
AE,NR,8.701256442520759
AE,NU,4.459752027502185
AE,NZ,3.304961274979802
AE,OM,2.048649236164337
AE,PA,3.110460203691679
AE,PE,3.262969625394174
AE,PF,3.994492389722214
AE,PG,3.3901726056959736
AE,PH,2.9578670447664717
AE,PK,2.689696625590053
AE,PL,3.149293504059563
AE,PM,12.41190600961748
AE,PR,5.915976899755601
AE,PS,4.794001232294055
AE,PT,4.1050446571482055
AE,PW,7.906956377579951
